original_text,constant
Bandcamp,brand
Deezer,brand
Facebook,brand
iTunes,brand
SoundCloud,brand
Spotify,brand
Tidal,brand
TikTok,brand
YouTube,brand
ALL,currency_code
AMD,currency_code
BAM,currency_code
BGL,currency_code
DKK,currency_code
EUR,currency_code
EUR,currency_code
GBL,currency_code
GEL,currency_code
HRK,currency_code
HUF,currency_code
NOK,currency_code
RON,currency_code
RSD,currency_code
SEK,currency_code
UAH,currency_code
USD,currency_code
Friuli-Venezia Giulia (ITH4),region_name
64%,numeric_constant
65%,numeric_constant
66%,numeric_constant
67%,numeric_constant
68%,numeric_constant
69%,numeric_constant
7%,numeric_constant
70%,numeric_constant
71%,numeric_constant
72%,numeric_constant
73%,numeric_constant
74%,numeric_constant
75%,numeric_constant
76%,numeric_constant
77%,numeric_constant
78%,numeric_constant
79%,numeric_constant
8%,numeric_constant
80%,numeric_constant
81%,numeric_constant
82%,numeric_constant
83%,numeric_constant
84%,numeric_constant
85%,numeric_constant
86%,numeric_constant
87%,numeric_constant
88%,numeric_constant
89%,numeric_constant
9%,numeric_constant
90%,numeric_constant
91%,numeric_constant
92%,numeric_constant
93%,numeric_constant
94%,numeric_constant
95%,numeric_constant
96%,numeric_constant
97%,numeric_constant
98%,numeric_constant
99%,numeric_constant
AGATA,organization
AIE - Sociedad de Artistas AIE,organization
AKKA-LAA,organization
AKM/AUME,organization
ARMAUHTOR,organization
Armenian Jazz Association,organization
Artisjus,organization
AsDAC - Asociatia Drepturi de Autor si Conexe din Republica Moldova,organization
ASGE,organization
Asociatia DJ-ilor Profesionisti din Romania,organization
CREDIDAM,organization
Deutsche Jazzunion,organization
Deutschen Jazz Föderation,organization
DJ Szövetság,organization
EEL,organization
Eesti Autorite Ühing,organization
Eesti Jazz Liit,organization
Eesti Kunstnike Liit,organization
EJI,organization
GCA,organization
GVL - Gesellschaft zur Verwertung von Leistungsschutzrechten,organization
HANOSZ,organization
IG World Music Austria,organization
Lietuvos džiazo federacija,organization
LSG  Interpreten und Produzenten von Tonträgern und Musikvideos,organization
Magyar Jazz Szövetség,organization
Mahasz,organization
MIE - Musika Industriaren Elkartea,organization
Mittelburgenland (AT111),organization
Mittelfranken (DE25),organization
MPRT,organization
Musikagileak,organization
Musikari,organization
Musikergilde Musiker-Komponisten-AutorenGilde,organization
NA CONXYPAN,organization
NSKU - Національна спілка композиторів України,organization
Österreichische Gesellschaft für Zeitgenössische Musik,organization
OZIS,organization
Polskie Stowarzyszenie Jazzowe,organization
SAWP,organization
SGAE - Sociedad General de Autores y Editores,organization
Slovenská jazzová spoločnosť,organization
SLOVGRAM,organization
SOZA,organization
STOART,organization
UACRR - Громадська організація «Українська агенція з авторських та суміжних прав» ,organization
UCMR-ADA,organization
UMM,organization
UPFR,organization
ZAIKS,organization
Zenészbázis,organization
ZPAV Zwiazek Producentow Audio Video,organization
АПДЛУМАД - Асоциация на професионалните дисководещи и лица упражняващи музикално- артистична дейност,organization
БАМП - BAMP,organization
БХХА - Bulgarian Hip Hop Assocation,organization
Българска музикална асоциация - Bulgarian Music Association,organization
Музикаутор - Musicautor,organization
Abruzzo (ITF1),region_name
Alytaus apskritis (LT021),region_name
AM-AG - Aragatsotn (region) - Aragac̣otn -  Արագածոտն,region_name
AM-AR - Ararat (region) - Ararat -  Արարատ,region_name
AM-AV - Armavir (region) - Armavir -  Արմավիր,region_name
AM-ER - Yerevan (city) - Erevan -  Երևան,region_name
AM-GR - Gegharkunik (region) - Geġark'unik' -  Գեղարքունիք,region_name
AM-KT - Kotayk (region) - Kotayk' -  Կոտայք,region_name
AM-LO - Lori (region) - Loṙi -  Լոռի,region_name
AM-SH - Shirak (region) - Širak -  Շիրակ,region_name
AM-SU - Syunik (region) - Syunik' -  Սյունիք,region_name
AM-TV - Tavush (region) - Tavuš -  Տավուշ,region_name
AM-VD - Vayots Dzor (region) - Vayoć Jor -  Վայոց Ձոր,region_name
"Amberg, Kreisfreie Stadt (DE231)",region_name
Andalucía (ES61),region_name
"Ansbach, Kreisfreie Stadt (DE251)",region_name
Apple Music,region_name
Araba/Álava (ES211),region_name
Aragón (ES24),region_name
Arnsberg (DEA5),region_name
"Aschaffenburg, Kreisfreie Stadt (DE261)",region_name
"Augsburg, Kreisfreie Stadt (DE271)",region_name
Außerfern (AT331),region_name
AZ-XA - Stepanakert (municipality) - Xankəndi -  Ստեփանակեր,region_name
BA-01 - Unsko-sanski kanton / županija,region_name
BA-02 - Posavski kanton / županija,region_name
BA-03 - Tuzlanski kanton / županija,region_name
BA-04 - Zeničko-dobojski kanton / županija,region_name
BA-05 - Bosansko-podrinjski kanton / županija,region_name
BA-06 - Srednjobosanski kanton / županija,region_name
BA-07 - Hercegovačko-neretvanski kanton / županija,region_name
BA-071 - Grad Mostar,region_name
BA-09 - Kanton Sarajevo / Sarajevska županija,region_name
BA-091 - Grad Sarajevo,region_name
BA-10 - Kanton br. 10 / županija,region_name
BA-BAL - Grad Banja Luka,region_name
BA-BLR - Banja Luka region,region_name
BA-BRC - Brčko distrikt,region_name
BA-DOB - Doboj-Bijeljina region,region_name
BA-ISZ - Istočno Sarajevo-Zvornik region,region_name
BA-SRP - Other Srpska Republika,region_name
BA-TRF - Trebinje-Foča region,region_name
Baden-Württemberg (DE1),region_name
"Bamberg, Kreisfreie Stadt (DE241)",region_name
Barnim (DE405),region_name
Basilicata (ITF5),region_name
Bayern (DE2),region_name
"Bayreuth, Kreisfreie Stadt (DE242)",region_name
Bergamo (ITC46),region_name
Berlin (DE3),region_name
BG-01 - Blagoevgrad - Благоевград,region_name
BG-02 - Burgas - Бургас,region_name
BG-03 - Varna - Варна,region_name
BG-04 - Veliko Tarnovo - Велико Търново,region_name
BG-05 - Vidin - Видин,region_name
BG-06 - Vratsa - Враца,region_name
BG-07 - Gabrovo - Габрово,region_name
BG-08 - Dobrich - Добрич,region_name
BG-09 - Kardzhali - Кърджали,region_name
BG-10 - Kyustendil - Кюстендил,region_name
BG-11 - Lovech - Ловеч,region_name
BG-12 - Montana - Монтана,region_name
BG-13 - Pazardzhik - Пазарджик,region_name
BG-14 - Pernik - Перник,region_name
BG-15 - Pleven - Плевен,region_name
